"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Devin Singletary","HOU","RB48","121.2","501.6","2.6","22.7","156.1","0.3","1.1","81.1"
"Curtis Samuel","WAS","WR65","25.8","140.8","0.8","47.5","485.7","2.4","0.5","81.1"
"Dalton Schultz","HOU","TE12","0.0","0.4","0.0","56.0","569.9","4.2","0.5","80.9"
"Marvin Mims Jr.","DEN","WR66","1.0","9.2","0.0","47.9","612.3","3.2","0.6","80.4"
"Jerick McKinnon","KC","RB49","59.5","228.9","1.6","37.8","314.8","2.7","0.2","80.3"
"D'Onta Foreman","CHI","RB50","119.5","566.9","3.0","6.6","45.8","0.2","0.6","79.0"
"Greg Dulcich","DEN","TE13","0.0","0.6","0.0","46.9","575.9","3.5","0.1","78.6"
"Tyler Higbee","LAR","TE14","0.0","0.5","0.0","61.3","575.8","3.5","0.1","78.6"
"K.J. Osborn","MIN","WR67","2.8","13.9","0.1","49.5","540.2","3.8","0.2","78.5"
"Elijah Moore","CLE","WR68","5.7","29.2","0.2","45.0","575.7","2.8","0.1","78.5"
"Gus Edwards","BAL","RB51","114.0","553.2","3.1","6.5","57.0","0.1","0.9","78.4"
"Cole Kmet","CHI","TE15","0.0","2.8","0.0","47.6","518.2","4.2","0.2","77.0"
"Jayden Reed","GB","WR69","3.2","20.1","0.1","46.8","580.0","2.9","0.7","76.8"
"Donovan Peoples-Jones","DET","WR70","0.3","0.5","0.0","43.6","605.5","2.8","0.5","76.5"
"Mecole Hardman Jr.","KC","WR71","7.4","52.1","0.7","44.9","506.7","2.9","0.7","76.4"
"Hunter Renfrow","LV","WR72","0.4","3.7","0.0","61.1","578.9","3.2","0.5","76.1"
"Dalton Kincaid","BUF","TE16","0.0","1.1","0.0","44.3","510.0","4.3","0.4","75.8"
"Rashod Bateman","BAL","WR73","0.0","0.2","0.0","40.9","588.8","2.9","0.8","74.5"
"Juwan Johnson","NO","TE17","0.0","0.3","0.0","41.3","489.0","4.3","0.1","74.4"
"Gerald Everett","LAC","TE18","0.0","0.7","0.0","50.7","524.2","3.7","0.3","74.2"
"Tank Bigsby","JAC","RB52","104.9","418.1","2.6","17.9","135.4","0.7","0.9","73.3"
"Kendrick Bourne","NE","WR74","5.0","35.2","0.2","47.0","542.9","2.3","0.3","72.5"
"Zack Moss","IND","RB53","78.5","469.2","2.4","14.8","97.7","0.4","0.7","72.3"
"Jeff Wilson Jr.","MIA","RB54","104.0","418.9","2.6","16.2","122.1","0.8","0.8","72.3"
"Jameson Williams","DET","WR75","1.6","18.8","0.1","37.5","533.3","2.8","0.5","71.9"
"Alec Pierce","IND","WR76","0.0","0.2","0.0","42.1","579.4","2.3","0.1","71.8"
"Sam LaPorta","DET","TE19","0.0","1.0","0.0","44.0","484.1","3.7","0.6","69.7"
"Isaiah Hodgins","NYG","WR77","0.0","0.6","0.0","44.9","481.6","3.8","0.6","69.6"
"Rashid Shaheed","NO","WR78","3.2","37.4","0.7","34.3","492.5","2.1","0.1","69.0"
"Hunter Henry","NE","TE20","0.0","0.5","0.0","42.3","497.1","2.9","0.1","67.0"
"Darius Slayton","NYG","WR79","0.4","1.8","0.0","38.1","543.1","2.2","0.5","66.8"
"Robert Woods","HOU","WR80","3.6","17.9","0.2","52.7","505.9","2.4","0.4","66.7"
"Irv Smith Jr.","CIN","TE21","0.0","0.5","0.0","43.2","412.3","4.1","0.1","65.6"
"Chase Claypool","MIA","WR81","5.0","34.7","0.2","36.1","466.3","2.5","0.5","65.4"
"Noah Fant","SEA","TE22","0.0","0.8","0.0","45.2","467.4","3.0","0.1","64.6"
"Tyjae Spears","TEN","RB55","93.3","369.5","1.9","17.3","134.1","0.6","0.8","63.7"
"Mack Hollins","ATL","WR82","0.3","11.2","0.1","42.1","472.7","2.6","0.2","63.7"
"Kendre Miller","NO","RB56","79.2","340.5","2.0","17.5","139.4","0.7","0.8","62.2"
"Dawson Knox","BUF","TE23","0.0","0.7","0.0","36.8","409.0","3.6","0.2","62.1"
"Kyren Williams","LAR","RB57","92.3","371.6","1.7","17.3","132.9","0.4","0.5","61.9"
"Joshua Kelley","LAC","RB58","94.0","377.6","2.1","15.0","115.2","0.3","1.1","61.5"
"Cordarrelle Patterson","ATL","RB59","65.8","283.4","2.2","20.0","151.8","0.8","0.2","61.0"
"Cade Otton","TB","TE24","0.0","0.7","0.0","44.4","459.0","2.5","0.1","60.7"
"Hayden Hurst","CAR","TE25","0.0","0.4","0.0","46.4","441.3","2.8","0.5","59.7"
"Joshua Palmer","LAC","WR83","0.4","1.7","0.0","41.6","465.7","2.2","0.1","59.7"
"Leonard Fournette","BUF","RB60","92.5","321.2","1.5","28.0","155.2","0.5","0.1","59.4"
"Clyde Edwards-Helaire","KC","RB61","68.2","298.8","2.1","14.8","117.7","1.0","0.3","59.4"
"Deon Jackson","NYG","RB62","75.6","282.8","1.6","25.8","173.7","1.0","0.8","59.2"
"Allen Robinson II","PIT","WR84","0.1","0.3","0.0","38.7","438.9","2.5","0.1","59.0"
"John Metchie III","HOU","WR85","0.6","6.5","0.0","37.7","450.8","2.2","0.1","58.9"
"Tyler Conklin","NYJ","TE26","0.0","3.1","0.0","46.0","438.9","2.5","0.1","58.9"
"Rashee Rice","KC","WR86","1.0","6.8","0.0","31.3","429.3","2.6","0.4","58.8"
"Jake Ferguson","DAL","TE27","0.0","0.5","0.0","38.4","393.2","3.2","0.1","58.7"
"Mike Gesicki","NE","TE28","0.0","0.3","0.0","36.0","411.1","2.9","0.1","58.2"
"Tutu Atwell","LAR","WR87","7.1","38.1","0.4","31.5","413.8","1.8","0.2","58.1"
"Ty Chandler","MIN","RB63","92.7","327.0","2.1","13.7","109.7","0.6","0.7","58.0"
"Parris Campbell","NYG","WR88","3.0","31.6","0.1","38.3","414.5","2.2","0.2","57.6"
"Taysom Hill","NO","TE29","40.5","153.0","2.5","13.1","182.0","1.7","1.1","56.5"
"Jerome Ford","CLE","RB64","94.8","351.2","1.8","10.7","93.1","0.5","0.8","56.2"
"Chase Edmonds","TB","RB65","63.2","290.0","1.4","20.2","150.2","0.7","0.4","56.2"
"Wan'Dale Robinson","NYG","WR89","2.5","12.2","0.1","40.0","439.5","1.9","0.4","56.1"
"Luke Musgrave","GB","TE30","0.0","0.9","0.0","36.0","397.9","2.8","0.4","55.8"
"Keaontay Ingram","KC","RB66","82.0","322.9","1.8","15.1","97.8","0.3","0.4","53.6"
"Roschon Johnson","CHI","RB67","88.4","326.0","1.7","9.3","88.8","0.5","0.7","53.0"
"Michael Mayer","LV","TE31","0.0","0.9","0.0","35.2","382.4","2.5","0.4","52.7"
"Josh Reynolds","DET","WR90","0.2","0.4","0.0","30.6","395.3","2.2","0.1","52.7"
"Deuce Vaughn","DAL","RB68","70.0","294.7","1.7","14.2","109.2","0.6","0.8","52.6"
"Logan Thomas","WAS","TE32","0.0","0.8","0.0","42.3","401.2","2.1","0.1","52.4"
"Jalin Hyatt","NYG","WR91","1.0","7.5","0.0","30.1","396.9","1.9","0.4","51.1"
"Nick Westbrook-Ikhine","TEN","WR92","0.0","0.3","0.0","28.4","371.0","2.3","0.1","50.4"
"Trey McBride","ARI","TE33","0.0","0.6","0.0","35.2","379.3","2.1","0.1","50.1"
"Tank Dell","HOU","WR93","0.9","6.0","0.0","30.9","402.5","1.7","0.6","49.7"
"Isaiah McKenzie","IND","WR94","7.2","45.9","0.2","33.4","335.1","1.7","0.1","49.3"
"Michael Wilson","ARI","WR95","0.4","5.7","0.0","34.2","397.1","1.4","0.2","48.9"
"Greg Dortch","ARI","WR96","5.7","41.2","0.1","36.4","348.9","1.4","0.5","46.7"
"Terrace Marshall Jr.","CAR","WR97","0.0","0.1","0.0","25.1","369.5","1.5","0.1","45.7"
"Randall Cobb","NYJ","WR98","0.1","0.6","0.0","30.7","335.1","2.0","0.2","44.9"
"Latavius Murray","BUF","RB69","55.7","270.9","1.6","10.3","68.4","0.2","0.0","44.5"
"Sterling Shepard","NYG","WR99","2.3","13.9","0.1","30.5","326.2","1.6","0.1","44.3"
"Sean Tucker","TB","RB70","65.0","259.0","1.1","12.7","90.1","0.4","0.2","43.4"
"Trey Palmer","TB","WR100","0.3","4.9","0.1","29.7","339.4","1.5","0.1","43.3"
"Chase Brown","CIN","RB71","50.6","218.2","1.4","15.0","118.0","0.5","0.7","43.3"
"Jelani Woods","IND","TE34","0.0","0.5","0.0","26.0","323.6","1.8","0.0","43.1"
"Josh Downs","IND","WR101","0.6","5.9","0.0","26.0","339.2","1.4","0.2","42.9"
"Khalil Shakir","BUF","WR102","0.7","4.8","0.0","24.1","329.1","1.5","0.2","42.2"
"Austin Hooper","LV","TE35","0.0","0.4","0.0","30.9","312.9","1.8","0.0","42.1"
"Evan Hull","IND","RB72","64.1","254.1","1.3","8.7","75.3","0.3","0.3","41.7"
"Isaiah Likely","BAL","TE36","0.0","0.6","0.0","24.3","292.6","2.1","0.0","41.6"
"Kareem Hunt","CLE","RB73","82.1","266.2","0.1","0.0","134.6","0.1","0.0","41.3"
"Matt Breida","NYG","RB74","53.8","239.1","1.2","12.3","92.0","0.2","0.7","40.1"
"Laviska Shenault Jr.","CAR","WR103","15.7","80.8","0.7","21.8","229.2","0.8","0.2","39.7"
"Kenyan Drake","GB","RB75","33.3","204.5","1.1","20.2","112.2","0.2","0.2","39.3"
"Marquez Callaway","NO","WR104","0.0","0.5","0.0","34.8","282.2","1.7","0.0","38.7"
"Trayveon Williams","CIN","RB76","55.3","238.6","1.0","12.1","76.1","0.4","1.0","37.7"
"Ben Skowronek","LAR","WR105","0.4","6.7","0.3","26.9","286.2","1.1","0.1","37.5"
"Braxton Berrios","MIA","WR106","1.2","15.9","0.2","24.7","263.0","1.4","0.3","37.1"
"Cedrick Wilson Jr.","MIA","WR107","0.2","0.6","0.0","27.1","278.0","1.5","0.1","36.9"
"Deonte Harty","BUF","WR108","2.4","16.7","0.1","24.1","278.2","1.3","0.3","36.9"
"Zamir White","LV","RB77","59.2","228.0","1.7","6.5","31.0","0.2","0.2","36.9"
"Isaiah Spiller","LAC","RB78","59.2","232.7","1.1","7.9","58.9","0.2","0.2","36.4"
"Tyquan Thornton","NE","WR109","2.3","8.9","0.8","18.1","235.9","1.2","0.0","36.2"
"Zach Evans","LAR","RB79","50.2","196.7","1.2","8.9","76.9","0.4","0.5","35.8"
"Kalif Raymond","DET","WR110","2.3","23.2","0.2","20.7","237.9","1.3","0.2","34.7"
"Rico Dowdle","DAL","RB80","54.0","203.6","1.3","6.8","49.3","0.2","0.2","34.3"
"Richie James Jr.","KC","WR111","0.4","1.3","0.0","20.8","266.8","1.6","1.1","34.1"
"Jauan Jennings","SF","WR112","0.0","0.2","0.0","21.7","261.4","1.3","0.1","33.7"
